IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,UTC_OFFSET
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.15991,-76.89144,-4.0
ELP,El Paso International Airport,El Paso,TX,USA,31.80667,-106.37781,-6.0
ERI,Erie International Airport,Erie,PA,USA,42.08202,-80.17622,-4.0
ESC,Delta County Airport,Escanaba,MI,USA,45.72267,-87.09373,-4.0
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.12326,-123.21869,-7.0
EVV,Evansville Regional Airport,Evansville,IN,USA,38.03799,-87.53063,-5.0
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,USA,35.07297,-77.04294,-4.0
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866,-4.0
EYW,Key West International Airport,Key West,FL,USA,24.55611,-81.75956,-4.0
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967,-8.0
FAR,Hector International Airport,Fargo,ND,USA,46.91935,-96.81499,-5.0
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619,-119.71814,-7.0
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA,34.99147,-78.88,-4.0
FCA,Glacier Park International Airport,Kalispell,MT,USA,48.3114,-114.25507,-6.0
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.13845,-111.67122,-7.0
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,-4.0
FNT,Bishop International Airport,Flint,MI,USA,42.9655,-83.74346,-4.0
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58135,-96.7417,-5.0
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744,-5.0
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515,-4.0
GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.3489,-105.53936,-6.0
GCK,Garden City Regional Airport,Garden City,KS,USA,37.92752,-100.72441,-5.0
GEG,Spokane International Airport,Spokane,WA,USA,47.61986,-117.53384,-7.0
GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.94926,-97.17611,-5.0
GGG,East Texas Regional Airport,Longview,TX,USA,32.38486,-94.71171,-5.0
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.12241,-108.52673,-6.0
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178,-4.0
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009,-5.0
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.48507,-88.12959,-5.0
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747,-98.30861,-5.0
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278,-5.0
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277,-4.0
GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373,-4.0
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21886,-4.0
GST,Gustavus Airport,Gustavus,AK,USA,58.42438,-135.70738,-8.0
GTF,Great Falls International Airport,Great Falls,MT,USA,47.482,-111.37069,-6.0
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137,-5.0
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318,-6.0
GUM,Guam International Airport,Agana,GU,USA,13.48345,-144.79598,-10.0
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766,-6.0
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.3866,-92.83899,-5.0
HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275,-6.0
HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241,-10.0
HOB,Lea County Regional Airport,Hobbs,NM,USA,32.68753,-103.21703,-6.0
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,-5.0
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757,-4.0
HRL,Valley International Airport,Harlingen,TX,USA,26.22851,-97.65439,-5.0
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311,-5.0
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.66934,-70.28036,-4.0
HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403,-5.0
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,-4.0
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,-4.0
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,-5.0
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305,-5.0
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.51456,-112.07017,-6.0
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,-4.0
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256,-4.0
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,-5.0
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438,-4.0
INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307,-5.0
ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,-5.0
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,-4.0
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,-4.0
ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847,-10.0
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774,-6.0
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.31117,-90.07589,-5.0
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786,-4.0
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,-4.0
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49827,-5.0
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782,-5.0
JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,-8.0
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.73877,-156.04563,-10.0
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374,-8.0
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,-4.0
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,-6.0
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,-7.0
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,-5.0
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,-7.0
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,-5.0
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,-4.0
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,-5.0
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539,-4.0
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,-5.0
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,-4.0
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,-7.0
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896,-10.0
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425,-5.0
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.85097,-96.75925,-5.0
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,-5.0
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,-5.0
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,-7.0
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,-5.0
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,-4.0
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,-5.0
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,-4.0
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,-4.0
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,-5.0
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,-5.0
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,-5.0
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,USA,26.17583,-98.23861,-5.0
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,-7.0
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,-5.0
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083,-5.0
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,-4.0
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,-4.0
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,-5.0
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,-4.0
MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581,-4.0
MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,-5.0
MLU,Monroe Regional Airport,Monroe,LA,USA,32.51087,-92.03769,-5.0
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83777,-7.0
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283,-5.0
MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033,-5.0
MQT,Sawyer International Airport,Marquette,MI,USA,46.35364,-87.39536,-4.0
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295,-7.0
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,-5.0
MSO,Missoula International Airport,Missoula,MT,USA,46.91631,-114.09056,-6.0
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,-5.0
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803,-5.0
MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383,-6.0
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA,41.39303,-70.61433,-4.0
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833,-4.0
OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA,34.82916,-77.61214,-4.0
OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,-7.0
OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,-10.0
OKC,Will Rogers World Airport,Oklahoma City,OK,USA,35.39309,-97.60073,-5.0
OMA,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89417,-5.0
OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525,-8.0
ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60119,-7.0
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,-5.0
ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20122,-4.0
ORH,Worcester Regional Airport,Worcester,MA,USA,42.26734,-71.87571,-4.0
OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,USA,43.41714,-124.24603,-7.0
